time_index,melt_pool_temperature,melt_pool_depth,scanning_speed,X,Y,Z,Dist_to_nearest_X,Dist_to_nearest_Y,Dist_to_nearest_Z,Laser_power,laser_power_number
0.0,456.7146742278484,0.0,6.99999999942067,0.0,0.0,0.0,20.0,20.0,0,623.2743004099387,23
0.035740034586603,495.3726672679641,0.0,6.99999999942067,-17.0,19.25,0.75,3.0,0.75,0,623.2777874899749,23
0.071480069173206,1119.042765597099,0.0,6.999999999420768,-17.0,19.25,0.75,3.0,0.75,0,623.28127428244,23
0.1072201037598091,1960.2024290620689,0.0,6.999999999420671,-16.999445286054204,19.25,0.75,3.000554713945796,0.75,0,623.2847607873061,23
0.1429601383464121,2286.593873294943,-0.4897959183673469,6.999999999420671,-16.749265043968688,19.25,0.75,3.2507349560313124,0.75,0,623.2882470045398,23
0.1787001729330151,2481.604173389792,-0.4285714285714285,6.999999999420666,-16.49908480188317,19.25,0.75,3.5009151981168287,0.75,0,623.2917329341136,23
0.214440207519618,2494.9498481585188,-0.3979591836734694,6.999999999420677,-16.248904559797655,19.25,0.75,3.751095440202345,0.75,0,623.2952185759951,23
0.250180242106221,2680.270906692192,-0.3826530612244898,6.999999999420716,-15.99872431771214,19.25,0.75,4.0012756822878615,0.75,0,623.2987039301605,23
0.285920276692824,2675.46767216371,-0.3826530612244898,6.999999999420666,-15.748544075626622,19.25,0.75,4.251455924373378,0.75,0,623.3021889965795,23
0.3216603112794269,2859.8943142318967,-0.3826530612244898,6.999999999420727,-15.498363833541106,19.25,0.75,4.501636166458894,0.75,0,623.3056737752186,23
0.3574003458660299,2722.837108381688,-0.3520408163265306,6.999999999420666,-15.24818359145559,19.25,0.75,4.751816408544411,0.75,0,623.3091582660502,23
0.3931403804526329,2927.106488134229,-0.3673469387755101,6.999999999420716,-14.998003349370071,19.25,0.75,5.001996650629927,0.75,0,623.3126424690422,23
0.4288804150392358,2808.839198084717,-0.3214285714285714,6.999999999420677,-14.747823107284557,19.25,0.75,5.252176892715445,0.75,0,623.3161263841705,23
0.4646204496258388,3001.8445715212583,-0.3673469387755101,6.999999999420677,-14.49764286519904,19.25,0.75,5.5023571348009614,0.75,0,623.3196100114076,23
0.5003604842124418,2896.111952799731,-0.3061224489795918,6.999999999420705,-14.247462623113522,19.25,0.75,5.752537376886478,0.75,0,623.3230933507119,23
0.5361005187990451,3022.333610034268,-0.3520408163265306,6.999999999420677,-13.997282381028004,19.25,0.75,6.002717618971996,0.75,0,623.3265764020641,23
0.5718405533856483,2902.703719389814,-0.2908163265306122,6.999999999420677,-13.747102138942488,19.25,0.75,6.252897861057512,0.75,0,623.3300591654292,23
0.6075805879722516,3040.811289390169,-0.3520408163265306,6.999999999420705,-13.496921896856971,19.25,0.75,6.503078103143029,0.75,0,623.3335416407832,23
0.6433206225588548,2902.950912252756,-0.2908163265306122,6.999999999420727,-13.246741654771457,19.25,0.75,6.753258345228545,0.75,0,623.3370238280985,23
0.679060657145458,3081.9341014554843,-0.3520408163265306,6.999999999420677,-12.99656141268594,19.25,0.75,7.003438587314061,0.75,0,623.3405057273336,23
0.7148006917320613,2957.65170011022,-0.2908163265306122,6.999999999420655,-12.746381170600422,19.25,0.75,7.253618829399578,0.75,0,623.3439873384691,23
0.7505407263186645,3068.763952588577,-0.3520408163265306,6.999999999420677,-12.496200928514906,19.25,0.75,7.503799071485094,0.75,0,623.3474686614728,23
0.7862807609052678,2913.767488786136,-0.2755102040816326,6.999999999420727,-12.24602068642939,19.25,0.75,7.75397931357061,0.75,0,623.3509496963129,23
0.822020795491871,3073.742317114343,-0.336734693877551,6.999999999420705,-11.995840444343871,19.25,0.75,8.004159555656127,0.75,0,623.3544304429693,23
0.8577608300784743,2915.180248575636,-0.2755102040816326,6.999999999420677,-11.745660202258357,19.25,0.75,8.254339797741645,0.75,0,623.3579109013981,23
0.8935008646650775,3079.39438990366,-0.336734693877551,6.999999999420677,-11.495479960172837,19.25,0.75,8.504520039827163,0.75,0,623.3613910715799,23
0.9292408992516809,2928.211538218086,-0.2755102040816326,6.999999999420677,-11.24529971808732,19.25,0.75,8.75470028191268,0.75,0,623.3648709534826,23
0.964980933838284,3062.802268962312,-0.336734693877551,6.999999999420677,-10.995119476001804,19.25,0.75,9.004880523998196,0.75,0,623.3683505470742,23
1.0007209684248872,2906.0331627101687,-0.2755102040816326,6.999999999420733,-10.744939233916288,19.25,0.75,9.255060766083712,0.75,0,623.3718298523349,23
1.0364610030114905,3065.1312942218287,-0.336734693877551,6.999999999420677,-10.494758991830771,19.25,0.75,9.505241008169229,0.75,0,623.3753088692234,23
1.0722010375980937,2918.6152283244737,-0.2755102040816326,6.999999999420677,-10.244578749745257,19.25,0.75,9.755421250254743,0.75,0,623.3787875977123,23
1.107941072184697,3080.3866359276008,-0.336734693877551,6.999999999420677,-9.99439850765974,19.25,0.75,10.00560149234026,0.75,0,623.3822660377772,23
1.1436811067713002,2949.55605087109,-0.2755102040816326,6.999999999420677,-9.744218265574224,19.25,0.75,10.255781734425776,0.75,0,623.3857441893836,23
1.1794211413579034,3064.8597393958144,-0.336734693877551,6.999999999420677,-9.494038023488708,19.25,0.75,10.505961976511292,0.75,0,623.389222052512,23
1.215161175944507,2906.442918587848,-0.2755102040816326,6.999999999420727,-9.24385778140319,19.25,0.75,10.75614221859681,0.75,0,623.3926996271207,23
1.25090121053111,3062.524366740549,-0.336734693877551,6.999999999420683,-8.993677539317675,19.25,0.75,11.006322460682323,0.75,0,623.3961769131824,23
