laser_power,time_elapsed
653.2129580366559,119.01431517336673
653.2146570697104,119.0500552079533
653.2163362340639,119.0857952425399
653.21799552841,119.1215352771265
653.2196349515259,119.1572753117131
653.2212545022282,119.19301534629967
653.222854179396,119.22875538088628
653.2244339819911,119.26449541547288
653.2259939090156,119.30023545005947
653.2275339595333,119.33597548464608
653.229054132692,119.37171551923268
653.2305544276783,119.40745555381926
653.2320348437416,119.44319558840586
653.2334953802143,119.47893562299244
653.2349360364692,119.51467565757903
653.2363568119404,119.55041569216564
653.2377577061453,119.58615572675224
653.2391387186422,119.62189576133883
653.24049984905,119.65763579592544
653.2418410970722,119.69337583051204
653.2431624624514,119.72911586509862
653.2444639449927,119.76485589968522
653.245745544584,119.8005959342718
653.2470072611535,119.8363359688584
653.2482490946915,119.872076003445
653.2494710452709,119.9078160380316
653.2506731130057,119.9435560726182
653.2518552980708,119.9792961072048
653.2530176007251,120.01503614179138
653.254160021267,120.05077617637798
653.2552825600573,120.08651621096458
653.2563852175397,120.12225624555116
653.2574679941984,120.15799628013777
653.2585308905784,120.19373631472436
653.2595739073097,120.22947634931096
653.2605970450606,120.26521638389757
653.2616003045628,120.30095641848416
653.26258368663,120.33669645307074
653.2635471921168,120.37243648765734
653.2644908219393,120.40817652224392
653.2654145770969,120.44391655683052
653.2663184586289,120.47965659141713
653.2672024676369,120.51539662600372
653.2680666053052,120.55113666059032
653.2689108728589,120.58687669517693
653.2697352715838,120.62261672976352
653.2705398028498,120.6583567643501
653.271324468067,120.6940967989367
653.2720892687063,120.7298368335233
653.2728342063227,120.76557686810987
653.273559282511,120.80131690269648
653.274264498928,120.83705693728308
653.2749498573129,120.87279697186968
653.2756153594457,120.90853700645629
653.2762610071682,120.94427704104288
653.2768868024048,120.98001707562946
653.2774927471202,121.01575711021606
653.2780788433413,121.05149714480264
653.2786450931774,121.08723717938923
653.279191498778,121.12297721397584
653.279718062355,121.15871724856244
653.2802247862024,121.19445728314903
653.2807116726547,121.23019731773564
653.2811787241083,121.26593735232224
653.2816259430423,121.30167738690882
653.2820533319757,121.33741742149542
653.2824608934902,121.373157456082
653.2828486302491,121.4088974906686
653.2832165449565,121.4446375252552
653.2835646403781,121.4803775598418
653.2838929193624,121.5161175944284
653.2842013847982,121.551857629015
653.2844900396353,121.58759766360158
653.284758886907,121.62333769818818
653.2850079296863,121.65907773277478
653.2852371711083,121.69481776736136
653.2854466143903,121.73055780194797
653.2856362627898,121.76629783653456
653.2858061196262,121.80203787112116
653.2859561883009,121.83777790570775
653.2860864722567,121.87351794029436
653.2861969749961,121.90925797488094
653.2862877001058,121.94499800946754
653.286358651212,121.98073804405414
653.2864098320023,122.01647807864072
653.2864412462471,122.05221811322733
653.2864528977568,122.08795814781392
653.2864447904029,122.12369818240052
653.2864169281403,122.15943821698713
653.2863693149629,122.19517825157372
653.2863019549267,122.2309182861603
653.2862148521701,122.2666583207469
653.2861080108711,122.3023983553335
653.2859814352701,122.33813838992008
653.2858351296887,122.37387842450669
653.2856690984892,122.40961845909328
653.2854833460952,122.44535849367988
653.2852778770123,122.48109852826649
653.2850526957864,122.51683856285308
653.2848078070247,122.55257859743966
653.2845432154164,122.58831863202626
653.2842589256915,122.62405866661284
653.2839549426398,122.65979870119943
653.2836312711346,122.69553873578604
653.2832879160885,122.73127877037264
653.2829248824759,122.76701880495924
653.2825421753523,122.80275883954585
653.2821397998144,122.83849887413244
653.2817177610194,122.87423890871902
653.2812760642059,122.90997894330562
653.280814714654,122.9457189778922
653.2803337177033,122.9814590124788
653.2798330787766,123.0171990470654
653.2793128033358,123.052939081652
653.2787728969042,123.0886791162386
653.2782133650869,123.1244191508252
653.2776342135293,123.1601591854118
653.2770354479367,123.19589921999838
653.2764170740977,123.23163925458498
653.2757790978392,123.26737928917156
653.2751215250504,123.30311932375815
653.2744443617016,123.33885935834476
653.2737476138032,123.37459939293136
653.2730312874255,123.41033942751795
653.2722953887219,123.44607946210456
653.2715399238848,123.48181949669114
653.270764899167,123.51755953127774
653.2699703209041,123.55329956586434
653.2691561954705,123.58903960045092
653.2683225293013,123.62477963503753
653.2674693289139,123.66051966962412
653.2665966008647,123.69625970421072
653.2657043517704,123.73199973879731
653.2647925883309,123.76773977338392
653.2638613172837,123.8034798079705
653.2629105454282,123.8392198425571
653.2619402796446,123.8749598771437
653.2609505268532,123.91069991173028
653.2599412940339,123.94643994631689
653.2589125882491,123.98217998090348
653.2578644165999,124.01792001549008
653.2567967862478,124.05366005007669
653.2557097044366,124.08940008466328
653.2546031784486,124.12514011924986
653.2534772156259,124.16088015383646
653.2523318233938,124.19662018842304
653.2511670092151,124.23236022300964
653.2499827806133,124.26810025759625
653.2487791451944,124.30384029218284
653.2475561106019,124.33958032676944
653.2463136845405,124.37532036135605
653.245051874796,124.41106039594264
653.2437706891928,124.44680043052922
653.242470135616,124.48254046511582
653.2411502220317,124.5182804997024
653.2398109564449,124.554020534289
653.2384523469204,124.5897605688756
653.237074401605,124.6255006034622
653.2356771286835,124.6612406380488
653.234260536401,124.6969806726354
653.2328246330842,124.732720707222
653.2313694270975,124.76846074180858
653.2298949268659,124.80420077639518
653.2284011408955,124.83994081098176
653.2268880777309,124.87568084556835
653.2253557459763,124.91142088015496
653.2238041543172,124.94716091474156
653.2222333114777,124.98290094932815
653.2206432262415,125.01864098391476
653.2190339074727,125.05438101850136
653.2174053640751,125.09012105308794
653.2157576050109,125.12586108767454
653.2140906393242,125.16160112226112
653.2124044760963,125.19734115684771
653.2106991244683,125.23308119143432
653.2089745936642,125.26882122602092
653.2072308929435,125.30456126060751
653.2054680316263,125.34030129519412
653.2036860191133,125.3760413297807
653.2018848648436,125.4117813643673
653.2000645783153,125.4475213989539
653.1982251691073,125.48326143354048
653.1963666468367,125.51900146812709
653.1944890211797,125.55474150271368
653.1925923018933,125.59048153730028
653.1906764987718,125.62622157188687
653.1887416216698,125.66196160647348
653.1867876805213,125.69770164106006
653.184814685299,125.73344167564666
653.1828226460339,125.76918171023324
653.180811572838,125.80492174481984
653.1787814758609,125.84066177940645
653.176732365311,125.87640181399304
653.1746642514772,125.91214184857964
653.1725771446863,125.94788188316625
653.1704710553236,125.98362191775284
653.1683459938541,126.01936195233942
653.1662019707818,126.05510198692602
653.1640389966684,126.0908420215126
653.161857082156,126.1265820560992
653.159656237924,126.1623220906858
653.1574364747097,126.1980621252724
653.1551978033333,126.233802159859
653.1529402346495,126.2695421944456
653.1506637795726,126.3052822290322
653.1483684490967,126.34102226361878
653.1460542542526,126.37676229820538
653.1437212061309,126.41250233279196
653.1413693159009,126.44824236737855
653.1389985947691,126.48398240196516
653.1366090540013,126.51972243655176
653.134200704942,126.55546247113836
653.1317735589734,126.59120250572497
653.1293276275352,126.62694254031156
653.1268629221477,126.66268257489814
653.1243794543672,126.69842260948474
653.1218772358089,126.73416264407132
653.1193562781668,126.76990267865791
653.1168165931724,126.80564271324452
653.1142581926149,126.84138274783112
653.1116810883628,126.87712278241771
653.1090852923215,126.91286281700432
653.1064708164541,126.9486028515909
653.1038376728034,126.9843428861775
653.1011858734483,127.0200829207641
653.0985154305257,127.05582295535068
653.0958263562519,127.09156298993727
653.0931186628793,127.12730302452388
653.0903923627172,127.16304305911048
653.087647468157,127.19878309369707
653.0848839916233,127.23452312828368
653.0821019455994,127.27026316287026
653.0793013426473,127.30600319745686
653.0764821953659,127.34174323204346
653.0736445164108,127.37748326663004
653.0707883185165,127.41322330121665
653.067913614454,127.44896333580324
653.0650204170518,127.48470337038984
653.0621087392161,127.52044340497643
653.0591785938902,127.55618343956304
653.0562299940743,127.59192347414962
653.0532629528468,127.62766350873622
653.0502774833222,127.6634035433228
653.0472735986723,127.6991435779094
653.044251312147,127.734883612496
653.0412106370322,127.7706236470826
653.0381515866707,127.8063636816692
653.0350741744836,127.8421037162558
653.0319784139276,127.8778437508424
653.0288643185162,127.91358378542898
653.0257319018415,127.94932382001558
653.0225811775304,127.98506385460216
653.0194121592672,128.0208038891888
