gamma_result_temp,gamma_result_depth,ref,TiDE_pred_temp,TiDE_pred_depth,LP
400.0,0.0,436.1014,400.0,0.0,533.8514
463.51947021484375,0.0,904.84973,463.51947,0.0,533.85516
1081.8900146484375,-0.26632651686668396,1296.6033,1081.89,-0.26632652,533.8588
1783.94384765625,-0.5510203838348389,1724.6505,1783.9438,-0.5510204,533.8624
2045.942626953125,-0.5295918583869934,2031.7224,2045.9426,-0.52959186,533.86597
2215.1259765625,-0.48061224818229675,2179.6394,2215.126,-0.48061225,533.86945
2302.99169921875,-0.4561224579811096,2259.3264,2302.9917,-0.45612246,533.87286
2355.57275390625,-0.43622449040412903,2304.328,2355.5728,-0.4362245,533.8762
2378.296875,-0.4255101978778839,2328.151,2378.2969,-0.4255102,533.87946
2381.59765625,-0.4147959053516388,2345.0537,2381.5977,-0.4147959,533.8827
2398.864013671875,-0.41020408272743225,2353.3801,2398.864,-0.41020408,533.8858
2419.16064453125,-0.40714284777641296,2364.7876,2419.1606,-0.40714285,533.88885
2413.370361328125,-0.4010204076766968,2374.808,2413.3704,-0.4010204,533.89185
2415.066162109375,-0.3948979675769806,2376.4321,2415.0662,-0.39489797,533.8948
2413.9072265625,-0.39336735010147095,2376.8855,2413.9072,-0.39336735,533.8976
2410.377197265625,-0.3918367326259613,2378.781,2410.3772,-0.39183673,533.9004
2419.805419921875,-0.3918367326259613,2378.5881,2419.8054,-0.39183673,533.9031
2424.5,-0.3918367326259613,2385.5457,2424.5,-0.39183673,533.90576
2422.202880859375,-0.3918367326259613,2388.5427,2422.203,-0.39183673,533.9083
2423.908447265625,-0.388775497674942,2394.758,2423.9084,-0.3887755,533.9108
2426.724365234375,-0.38724491000175476,2396.0295,2426.7244,-0.3872449,533.91327
2425.912353515625,-0.3857142925262451,2402.6467,2425.9124,-0.3857143,533.91565
2427.0361328125,-0.3857142925262451,2403.5508,2427.0361,-0.3857143,533.91797
2430.9033203125,-0.3857142925262451,2406.3135,2430.9033,-0.3857143,533.9202
2437.1689453125,-0.38724491000175476,2409.7815,2437.169,-0.3872449,533.92236
2444.1064453125,-0.388775497674942,2413.1658,2444.1064,-0.3887755,533.9245
2453.060546875,-0.38265305757522583,2417.323,2453.0605,-0.38265306,533.9265
2457.01953125,-0.37959182262420654,2424.4392,2457.0195,-0.37959182,533.9285
2462.6484375,-0.3811224400997162,2427.462,2462.6484,-0.38112244,533.9304
2468.458740234375,-0.3811224400997162,2436.1484,2468.4587,-0.38112244,533.93225
2476.883544921875,-0.38265305757522583,2428.472,2476.8835,-0.38265306,533.934
2479.916748046875,-0.37959182262420654,2427.2568,2479.9167,-0.37959182,533.9357
2458.087646484375,-0.37653061747550964,2424.3447,2458.0876,-0.37653062,533.9374
2443.953857421875,-0.3780612349510193,2416.6423,2443.9539,-0.37806123,533.93896
2454.07177734375,-0.3780612349510193,2423.3088,2454.0718,-0.37806123,533.9404
2457.984619140625,-0.3780612349510193,2426.1687,2457.9846,-0.37806123,533.9419
2455.7861328125,-0.37959182262420654,2432.034,2455.7861,-0.37959182,533.9433
2464.135009765625,-0.3811224400997162,2433.934,2464.135,-0.38112244,533.9446
2474.37451171875,-0.37959182262420654,2433.878,2474.3745,-0.37959182,533.94586
2468.766845703125,-0.37653061747550964,2434.2937,2468.7668,-0.37653062,533.947
2462.623291015625,-0.37653061747550964,2429.2527,2462.6233,-0.37653062,533.9482
2462.952392578125,-0.3780612349510193,2438.6719,2462.9524,-0.37806123,533.9492
2471.441650390625,-0.3780612349510193,2431.586,2471.4417,-0.37806123,533.9502
2479.718994140625,-0.375,2429.5608,2479.719,-0.375,533.9511
2474.10546875,-0.37653061747550964,2428.8542,2474.1055,-0.37653062,533.952
2465.69677734375,-0.37653061747550964,2418.3218,2465.6968,-0.37653062,533.9528
2462.876708984375,-0.375,2429.5063,2462.8767,-0.375,533.95355
2465.60400390625,-0.3780612349510193,2432.6616,2465.604,-0.37806123,533.9542
2471.18310546875,-0.3841836750507355,2436.885,2471.183,-0.38418368,533.95483
2473.28125,-0.38265305757522583,2442.2893,2473.2812,-0.38265306,534.0414
2473.281148470848,-0.38265306122448983,2442.2476,2499.3992,-0.39107612,534.0414
2474.7529374714572,-0.37806122448979596,2444.7808,2530.092,-0.38385075,535.29944
2477.2656226409,-0.37500000000000006,2442.02,2509.1414,-0.37562084,537.91376
2481.4373266604316,-0.3719387755102041,2444.0645,2497.0398,-0.37223575,539.29144
2485.321503023404,-0.3719387755102041,2447.282,2502.4392,-0.37361142,539.82837
2496.3397838335286,-0.3734693877551021,2443.4712,2504.3938,-0.37483346,540.43964
2515.9630487526647,-0.3719387755102041,2447.7666,2510.2473,-0.37566245,540.5929
2526.692212218593,-0.3688775510204082,2449.3984,2524.9265,-0.37441728,540.0132
2519.491107553005,-0.3688775510204082,2445.4634,2535.0325,-0.37210917,539.6017
2511.3832239660856,-0.3688775510204082,2450.6638,2528.7742,-0.37158084,540.03876
2511.497610167347,-0.3688775510204082,2437.4905,2519.1436,-0.3718319,540.5409
2514.1006933396256,-0.3688775510204082,2429.3916,2519.0847,-0.3720963,540.5361
2522.5325097829505,-0.3673469387755102,2428.936,2522.595,-0.37173587,540.3801
2526.7187507562926,-0.3673469387755102,2431.435,2528.9229,-0.370743,539.95844
2517.9108897282185,-0.3673469387755102,2442.8704,2532.0579,-0.370759,539.6264
2514.1457517085423,-0.3673469387755102,2447.9314,2525.0903,-0.37065232,539.883
2519.5050305516497,-0.36581632653061225,2451.6182,2522.0422,-0.37081623,539.9657
2529.893246458795,-0.36734693877551017,2439.6816,2528.0806,-0.3701295,539.5773
2540.1406749453786,-0.3688775510204082,2440.2856,2538.0874,-0.37072197,538.9644
2525.209831415002,-0.3673469387755102,2430.5598,2544.6877,-0.37119824,538.32684
2506.4382073598113,-0.36581632653061225,2425.2212,2528.7915,-0.36955315,538.799
2506.337415392566,-0.36581632653061225,2431.8953,2511.166,-0.3680502,539.4225
2511.910746027438,-0.3673469387755102,2433.1746,2515.8606,-0.3690138,539.1369
2522.7773055731845,-0.3688775510204082,2441.6252,2527.071,-0.37110114,538.7798
2532.348641298601,-0.36734693877551017,2441.0542,2535.4143,-0.37164944,538.42664
2518.72458037408,-0.36581632653061225,2439.5703,2536.9575,-0.36929065,538.0024
2499.41014292353,-0.3688775510204082,2437.6592,2520.8945,-0.3676014,538.33746
2495.326287718411,-0.3688775510204082,2432.2517,2503.3784,-0.37020862,538.82904
2496.7011698953647,-0.3688775510204082,2435.485,2503.0603,-0.37190455,538.63043
2496.675589256715,-0.3719387755102041,2430.5825,2507.91,-0.3719978,538.33704
2506.027420446942,-0.3734693877551021,2426.8354,2505.6099,-0.37295377,538.2984
2507.537433693544,-0.3704081632653061,2426.8591,2509.1604,-0.37454015,537.64453
2493.5702936172893,-0.3688775510204082,2426.3745,2510.2507,-0.37294078,537.093
2480.117325809325,-0.3734693877551021,2427.7341,2500.1426,-0.37122607,537.2988
2471.9396418310525,-0.37500000000000006,2431.8162,2489.1428,-0.37464878,537.66473
2480.5215558347572,-0.3734693877551021,2430.0254,2482.2524,-0.37733525,537.8966
2498.972222618897,-0.3734693877551021,2427.364,2486.9507,-0.37602878,537.33075
2506.5305324115793,-0.3704081632653061,2426.9404,2499.5225,-0.3746503,536.07025
2494.85619776138,-0.3704081632653061,2426.1204,2506.576,-0.3730757,535.03253
2482.0634356285327,-0.3734693877551021,2427.3308,2497.963,-0.3728186,534.9522
2477.156993581781,-0.3734693877551021,2431.136,2486.2563,-0.3740412,535.14526
2481.3052423267927,-0.3734693877551021,2433.6274,2482.6016,-0.3743503,535.02704
2494.130944087743,-0.3780612244897959,2432.3218,2485.6782,-0.3743093,534.52344
2499.427924723505,-0.375,2434.1963,2493.739,-0.3769533,533.5297
2485.59189688176,-0.3704081632653061,2433.3525,2496.7026,-0.37541777,532.7013
2465.9962710617974,-0.37806122448979596,2433.5981,2485.1208,-0.37151593,532.75287
2453.544005185404,-0.38418367346938775,2438.6343,2458.473,-0.37401742,533.22266
2458.621178207281,-0.3811224489795918,2435.9429,2446.0713,-0.3797479,533.0059
2475.030575584986,-0.3811224489795918,2436.2744,2457.296,-0.37978408,531.92773
