gamma_result_temp,gamma_result_depth,ref,TiDE_pred_temp,TiDE_pred_depth,Time,LP
400.0,0.0,436.1014,400.0,0.0,0.37558627128601074,533.8514
463.51947021484375,0.0,904.84973,463.51947,0.0,0.12611174583435059,533.85516
1081.8900146484375,-0.26632651686668396,1296.6033,1081.89,-0.26632652,0.2345583438873291,533.8588
1783.94384765625,-0.5510203838348389,1724.6505,1783.9438,-0.5510204,0.15857505798339844,533.8624
2045.942626953125,-0.5295918583869934,2031.7224,2045.9426,-0.52959186,0.17778682708740234,533.86597
2215.1259765625,-0.48061224818229675,2179.6394,2215.126,-0.48061225,0.338376522064209,533.86945
2302.99169921875,-0.4561224579811096,2259.3264,2302.9917,-0.45612246,0.22708773612976074,533.87286
2355.57275390625,-0.43622449040412903,2304.328,2355.5728,-0.4362245,0.17843079566955566,533.8762
2378.296875,-0.4255101978778839,2328.151,2378.2969,-0.4255102,0.18887686729431152,533.87946
2381.59765625,-0.4147959053516388,2345.0537,2381.5977,-0.4147959,0.1589188575744629,533.8827
2398.864013671875,-0.41020408272743225,2353.3801,2398.864,-0.41020408,0.1644279956817627,533.8858
2419.16064453125,-0.40714284777641296,2364.7876,2419.1606,-0.40714285,0.18844199180603027,533.88885
2413.370361328125,-0.4010204076766968,2374.808,2413.3704,-0.4010204,0.1828916072845459,533.89185
2415.066162109375,-0.3948979675769806,2376.4321,2415.0662,-0.39489797,0.17315912246704102,533.8948
2413.9072265625,-0.39336735010147095,2376.8855,2413.9072,-0.39336735,0.16803312301635742,533.8976
2410.377197265625,-0.3918367326259613,2378.781,2410.3772,-0.39183673,0.1599879264831543,533.9004
2419.805419921875,-0.3918367326259613,2378.5881,2419.8054,-0.39183673,0.20847773551940918,533.9031
2424.5,-0.3918367326259613,2385.5457,2424.5,-0.39183673,0.18835234642028809,533.90576
2422.202880859375,-0.3918367326259613,2388.5427,2422.203,-0.39183673,0.18236255645751953,533.9083
2423.908447265625,-0.388775497674942,2394.758,2423.9084,-0.3887755,0.14493012428283691,533.9108
2426.724365234375,-0.38724491000175476,2396.0295,2426.7244,-0.3872449,0.16728973388671875,533.91327
2425.912353515625,-0.3857142925262451,2402.6467,2425.9124,-0.3857143,0.17070341110229492,533.91565
2427.0361328125,-0.3857142925262451,2403.5508,2427.0361,-0.3857143,0.15459728240966797,533.91797
2430.9033203125,-0.3857142925262451,2406.3135,2430.9033,-0.3857143,0.20134782791137695,533.9202
2437.1689453125,-0.38724491000175476,2409.7815,2437.169,-0.3872449,0.16874170303344727,533.92236
2444.1064453125,-0.388775497674942,2413.1658,2444.1064,-0.3887755,0.15029668807983398,533.9245
2453.060546875,-0.38265305757522583,2417.323,2453.0605,-0.38265306,0.17745065689086914,533.9265
2457.01953125,-0.37959182262420654,2424.4392,2457.0195,-0.37959182,0.16666221618652344,533.9285
2462.6484375,-0.3811224400997162,2427.462,2462.6484,-0.38112244,0.20967388153076172,533.9304
2468.458740234375,-0.3811224400997162,2436.1484,2468.4587,-0.38112244,0.15819859504699707,533.93225
2476.883544921875,-0.38265305757522583,2428.472,2476.8835,-0.38265306,0.1913318634033203,533.934
2479.916748046875,-0.37959182262420654,2427.2568,2479.9167,-0.37959182,0.18755221366882324,533.9357
2458.087646484375,-0.37653061747550964,2424.3447,2458.0876,-0.37653062,0.2878108024597168,533.9374
2443.953857421875,-0.3780612349510193,2416.6423,2443.9539,-0.37806123,0.18980193138122559,533.93896
2454.07177734375,-0.3780612349510193,2423.3088,2454.0718,-0.37806123,0.1750032901763916,533.9404
2457.984619140625,-0.3780612349510193,2426.1687,2457.9846,-0.37806123,0.16352391242980957,533.9419
2455.7861328125,-0.37959182262420654,2432.034,2455.7861,-0.37959182,0.13741087913513184,533.9433
2464.135009765625,-0.3811224400997162,2433.934,2464.135,-0.38112244,0.15934014320373535,533.9446
2474.37451171875,-0.37959182262420654,2433.878,2474.3745,-0.37959182,0.16079282760620117,533.94586
2468.766845703125,-0.37653061747550964,2434.2937,2468.7668,-0.37653062,0.1478137969970703,533.947
2462.623291015625,-0.37653061747550964,2429.2527,2462.6233,-0.37653062,0.19212889671325684,533.9482
2462.952392578125,-0.3780612349510193,2438.6719,2462.9524,-0.37806123,0.26587629318237305,533.9492
2471.441650390625,-0.3780612349510193,2431.586,2471.4417,-0.37806123,0.20465731620788574,533.9502
2479.718994140625,-0.375,2429.5608,2479.719,-0.375,0.16798663139343262,533.9511
2474.10546875,-0.37653061747550964,2428.8542,2474.1055,-0.37653062,0.1746056079864502,533.952
2465.69677734375,-0.37653061747550964,2418.3218,2465.6968,-0.37653062,0.17007660865783691,533.9528
2462.876708984375,-0.375,2429.5063,2462.8767,-0.375,0.22322344779968262,533.95355
2465.60400390625,-0.3780612349510193,2432.6616,2465.604,-0.37806123,0.20545578002929688,533.9542
2471.18310546875,-0.3841836750507355,2436.885,2471.183,-0.38418368,0.16562771797180176,533.95483
2473.280029296875,-0.38265305757522583,2442.2893,2473.28,-0.38265306,0.163344144821167,534.03986
2473.280034813527,-0.38265306122448983,2442.2476,2499.3804,-0.3910718,0.22394943237304688,534.03986
2474.752817182509,-0.37806122448979596,2444.7808,2530.0469,-0.38382733,0.16779041290283203,535.3017
2477.280530911127,-0.37500000000000006,2442.02,2509.059,-0.37558168,0.18635129928588867,537.93146
2481.485525469208,-0.3719387755102041,2444.0645,2496.891,-0.37216547,0.15404295921325684,539.3288
2485.4142380485055,-0.3719387755102041,2447.282,2502.307,-0.37351254,0.21832704544067383,539.88306
2496.48136602668,-0.3734693877551021,2443.4712,2504.3804,-0.37477958,0.306032657623291,540.5111
2516.1640182644087,-0.3719387755102041,2447.7666,2510.1692,-0.37555432,0.1450519561767578,540.693
2526.9571577479574,-0.3688775510204082,2449.3984,2525.0051,-0.3743599,0.171234130859375,540.1286
2519.1209181001955,-0.3673469387755102,2445.4634,2535.0293,-0.37200373,0.26488733291625977,539.747
2509.002919819261,-0.3673469387755102,2450.6638,2528.3948,-0.37057182,0.2018415927886963,540.2294
2510.330137518541,-0.3673469387755102,2437.4905,2516.7622,-0.3706511,0.1922762393951416,540.87177
2521.9113540147746,-0.3673469387755102,2429.3916,2517.786,-0.3710876,0.1832866668701172,540.84436
2535.5520729399673,-0.36581632653061225,2428.936,2530.0952,-0.37091008,0.19177579879760742,540.2627
2524.201345903264,-0.36581632653061225,2431.435,2541.9678,-0.36949098,0.1577455997467041,539.595
2509.746671571204,-0.36581632653061225,2442.8704,2530.2988,-0.36897483,0.14529681205749512,540.08765
2523.5390700254366,-0.36734693877551017,2447.9314,2514.8928,-0.3690586,0.14878439903259277,540.7123
2533.364965142354,-0.36581632653061225,2451.6182,2529.3503,-0.37085867,0.19025063514709473,539.7966
2534.753686543251,-0.36581632653061225,2439.6816,2544.1765,-0.37015086,0.15616536140441895,539.1332
2541.581596238685,-0.36734693877551017,2440.2856,2543.7783,-0.36898917,0.19060349464416504,539.13544
2528.2560254260698,-0.36581632653061225,2430.5598,2542.1436,-0.36887848,0.14427518844604492,538.7545
2510.219424849044,-0.36581632653061225,2425.2212,2529.661,-0.36801735,0.19809293746948242,538.99084
2516.334318151036,-0.36581632653061225,2431.8953,2516.973,-0.36815384,0.14655852317810059,539.4949
2525.126297735324,-0.3673469387755102,2433.1746,2527.0752,-0.36893263,0.1896662712097168,539.0313
2530.294518813554,-0.3673469387755102,2441.6252,2539.484,-0.37032056,0.16183018684387207,538.6167
2536.049410303845,-0.3673469387755102,2441.0542,2541.0256,-0.36958325,0.15631389617919922,538.5571
2528.620223836011,-0.3673469387755102,2439.5703,2538.2043,-0.36841035,0.21753954887390137,538.2749
2514.7676247254276,-0.36581632653061225,2437.6592,2529.8572,-0.36839655,0.16875767707824707,538.21063
2508.769760679901,-0.36581632653061225,2432.2517,2520.7769,-0.3684404,0.1712186336517334,538.40674
2511.8621920264895,-0.3673469387755102,2435.485,2517.241,-0.36884803,0.16565799713134766,538.4354
2523.354752135263,-0.3673469387755102,2430.5825,2520.402,-0.36993843,0.16966915130615234,538.1202
2531.317484507109,-0.36581632653061225,2426.8354,2529.667,-0.370095,0.16053414344787598,537.3763
2528.8281181013726,-0.36581632653061225,2426.8591,2534.4377,-0.36875987,0.18624639511108398,536.689
2518.9303123472064,-0.36581632653061225,2426.3745,2531.6008,-0.3683635,0.18403196334838867,536.3229
2515.409743967192,-0.36734693877551017,2427.7341,2525.145,-0.36877373,0.16743087768554688,536.309
2512.193433413387,-0.3688775510204082,2431.8162,2523.8826,-0.37030786,0.19259166717529297,536.12915
2501.1737944682473,-0.3688775510204082,2430.0254,2520.8499,-0.3712374,0.1513526439666748,536.0435
2503.168494640522,-0.3704081632653061,2427.364,2506.84,-0.37093002,0.17490530014038086,536.35345
2507.6641696377037,-0.3688775510204082,2426.9404,2502.4849,-0.37171862,0.16958856582641602,535.8675
2495.3807456840977,-0.3688775510204082,2426.1204,2508.307,-0.37123302,0.1887979507446289,534.9165
