0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
6.892e-42,0.0,6.89e-42,0.0,1.12e-43,0.0,4.6e-44,0.0,5.0747514e-13,0.0,9.283796e-12,0.0,1.57e-43,0.0,1.12e-43,0.0,4.127228e-13,0.0,1.7323e-41,0.0,1.7044e-41,0.0,1.7013e-41,0.0,4.463e-42,0.0,4.465e-42,0.0,6.893e-42,0.0,6.892e-42,0.0,6.776489e-12,0.0,4.6e-44,0.0,5.0747514e-13,0.0,4.1272194e-13,0.0,3.14e-43,0.0,1.35e-43,0.0,3.192737e-13,0.0,1.7324e-41,0.0,1.7045e-41,0.0
2474.3062,2470.9216,2485.5615,2490.0698,2490.4429,2489.2712,2483.7607,2476.077,2471.496,2469.32,2470.5364,2471.58,2472.4897,2473.9243,2474.8896,2475.5833,2475.4553,2475.599,2475.2617,2474.3696,2473.5122,2470.9902,2473.9426,2474.3833,2474.1584,2473.6611,2473.0852,2473.3364,2473.4578,2473.4202,2472.162,2469.8977,2467.911,2466.5188,2466.705,2468.0842,2470.7202,2474.1094,2477.1184,2478.9783,2478.683,2476.2046,2471.9224,2467.49,2464.5217,2464.0295,2465.864,2469.732,2474.022,2478.5525
2474.6387,2477.8667,2502.5608,2495.7468,2488.3064,2491.3403,2493.826,2486.2996,2478.3748,2474.585,2472.741,2471.7698,2470.074,2467.4338,2465.338,2465.8274,2464.2153,2463.294,2462.1125,2460.5652,2457.479,2460.5186,2461.6626,2461.3782,2460.5925,2458.4814,2456.4946,2455.6682,2455.3577,2455.3242,2454.1445,2451.244,2451.9602,2451.9792,2453.5022,2455.664,2458.6104,2462.3145,2465.5588,2467.8628,2467.6692,2464.7026,2459.9211,2455.3567,2454.0725,2457.7114,2462.6562,2466.0938,2469.1233,2472.9578
2470.2576,2464.2212,2483.7449,2474.7178,2464.3257,2460.907,2458.423,2456.3735,2453.5444,2450.5662,2452.5698,2451.9058,2450.6614,2449.9863,2449.433,2449.2686,2448.0117,2447.2463,2445.282,2440.9636,2442.9976,2443.3315,2442.4045,2441.1887,2440.818,2440.4014,2440.3682,2441.5063,2442.2673,2442.3313,2440.8022,2437.868,2435.1462,2432.9321,2431.8972,2431.6545,2433.0503,2435.3733,2437.4028,2438.6956,2437.8171,2434.9678,2431.7954,2430.8738,2432.9946,2438.909,2446.023,2451.3384,2455.8782,2460.8816
2460.0286,2460.1492,2475.4578,2470.4102,2462.8694,2461.2505,2459.427,2457.9727,2455.896,2454.2803,2452.9624,2451.5015,2450.1978,2450.0325,2449.8674,2450.3176,2448.492,2445.5896,2440.4553,2440.804,2440.367,2441.3398,2440.9312,2439.7734,2440.0027,2440.018,2440.016,2439.9517,2438.8708,2437.156,2435.095,2434.8252,2436.321,2437.0745,2438.8228,2440.0393,2442.0928,2444.3755,2445.992,2446.4272,2444.582,2441.44,2438.1384,2437.8748,2442.4023,2449.8682,2458.0823,2464.6992,2470.1807,2475.5403
2457.5642,2463.9912,2476.6372,2475.959,2472.736,2475.9116,2477.553,2478.0288,2477.2937,2476.9045,2475.9497,2474.9666,2473.8657,2473.2288,2472.5034,2472.3123,2469.8203,2465.1064,2464.658,2462.6238,2461.6636,2462.1064,2462.01,2462.1208,2463.7007,2465.9675,2468.1033,2470.021,2469.8164,2467.9368,2464.6416,2460.8486,2457.702,2455.0054,2452.9336,2452.3713,2454.7866,2459.0996,2463.0369,2466.6555,2469.9648,2472.0916,2470.0283,2469.3052,2470.083,2472.3623,2476.4885,2482.0728,2486.05,2490.382
2458.6987,2459.5486,2468.6753,2470.3616,2467.3467,2468.8728,2469.5186,2469.5957,2468.5916,2468.1765,2467.4111,2466.1987,2464.7576,2463.922,2463.2932,2462.1252,2458.0225,2458.4036,2456.433,2454.1638,2453.339,2453.7854,2453.8462,2454.146,2455.6948,2457.626,2459.1145,2460.5488,2460.3306,2459.2158,2457.1445,2453.9836,2450.9492,2448.2288,2446.3684,2446.4363,2449.8044,2453.3108,2456.4653,2459.6394,2462.9617,2467.119,2467.0505,2466.5469,2467.1396,2468.7659,2471.5237,2475.3982,2479.1292,2482.1208
2467.575,2464.6875,2470.2383,2469.1018,2465.9143,2466.104,2465.0972,2463.7214,2462.211,2461.2395,2460.297,2459.0212,2457.1775,2455.6443,2453.8115,2450.8616,2451.8394,2450.9226,2448.708,2446.5488,2445.8628,2446.444,2446.7954,2447.3313,2448.6587,2450.1633,2451.1848,2451.9294,2451.538,2450.874,2448.9348,2445.8618,2442.9558,2440.6997,2439.8494,2441.991,2445.1245,2448.1194,2450.7686,2453.4338,2456.5654,2460.7458,2463.0457,2462.8235,2463.621,2465.2356,2467.737,2470.753,2471.5393,2472.1917
2464.8457,2460.4263,2463.8394,2462.4868,2460.369,2460.1865,2458.7495,2457.0781,2455.5105,2454.5952,2453.7595,2452.5562,2450.66,2448.4033,2445.0686,2447.0662,2446.5369,2445.2935,2443.2324,2441.2102,2440.6797,2441.4148,2441.8232,2442.301,2443.437,2444.7427,2445.6533,2446.4155,2446.1487,2445.736,2444.105,2441.3354,2438.933,2438.493,2439.7073,2441.8765,2444.936,2447.8423,2450.3,2452.8801,2456.0042,2460.0955,2460.615,2460.3838,2461.0518,2462.4387,2464.6702,2468.0752,2470.584,2471.1526
2454.7124,2449.731,2451.2837,2451.2085,2451.833,2452.0242,2450.9648,2449.8289,2449.0122,2448.7996,2448.3281,2447.2698,2444.9612,2441.5505,2443.38,2443.8638,2442.688,2441.1414,2438.9229,2438.1245,2437.8958,2437.8337,2437.8193,2438.062,2439.0469,2440.4246,2441.6091,2442.5647,2442.359,2442.0398,2440.6348,2438.6052,2438.9912,2439.4756,2440.7786,2442.9868,2445.9685,2448.8154,2451.2405,2453.7954,2456.6973,2459.1785,2457.9534,2457.6094,2458.1838,2459.5027,2461.8496,2465.7397,2469.643,2472.1392
2453.455,2448.9346,2447.8162,2447.9543,2449.557,2451.6433,2450.7004,2449.8123,2449.26,2449.1936,2448.7566,2447.1128,2443.4004,2444.9253,2445.0942,2444.996,2443.7183,2442.0515,2439.842,2439.6035,2439.6487,2439.7126,2439.0676,2439.2695,2440.304,2441.867,2443.1748,2444.2805,2444.1174,2443.7954,2442.4954,2440.259,2440.439,2440.9634,2442.3472,2444.5042,2447.4028,2450.2227,2452.599,2455.0593,2458.037,2460.43,2459.2566,2458.966,2459.51,2460.7197,2462.591,2465.9348,2469.7822,2471.6167
2462.1814,2457.721,2454.98,2453.1653,2452.9045,2454.4502,2452.7542,2451.2214,2450.0383,2449.434,2448.0806,2444.8267,2445.9194,2445.696,2445.31,2445.197,2443.9497,2442.3755,2441.0059,2440.4585,2440.0063,2439.6667,2438.9258,2439.1873,2440.2996,2441.9038,2443.1934,2444.0999,2443.784,2443.3823,2441.9814,2440.7349,2441.6958,2442.3208,2443.8083,2446.0828,2449.09,2451.8887,2454.1072,2456.3972,2459.187,2460.8113,2459.66,2459.4197,2460.059,2461.3438,2463.3447,2466.2043,2469.709,2470.472
2463.1323,2458.2456,2453.8271,2451.303,2450.6304,2451.8608,2449.8823,2448.056,2446.6074,2445.2273,2442.361,2444.0017,2443.5303,2442.861,2442.4775,2442.277,2440.9211,2439.2659,2438.1401,2437.2646,2436.5881,2436.2712,2435.4119,2436.6226,2436.813,2438.279,2439.3994,2439.9197,2439.7969,2439.8855,2439.599,2439.9138,2441.0667,2441.8525,2443.4277,2445.7502,2448.735,2451.3174,2453.3037,2455.2734,2457.6663,2457.9639,2456.8433,2456.696,2457.4692,2458.9297,2461.0305,2463.9753,2467.57,2467.8574
2465.0105,2459.4507,2454.6924,2451.4697,2450.61,2451.1814,2449.3777,2446.9292,2444.628,2441.5962,2443.5454,2443.4954,2442.5054,2441.8533,2441.5215,2441.4036,2440.1636,2438.5967,2437.97,2436.8591,2436.0046,2435.5344,2434.7864,2436.0974,2436.1765,2437.5132,2438.5208,2439.1182,2439.7107,2439.9705,2439.7842,2440.2874,2441.5623,2442.3962,2443.9885,2446.2754,2449.1404,2451.6396,2453.554,2455.4233,2457.6616,2458.0444,2456.8823,2456.663,2457.4678,2458.8547,2460.9255,2463.8105,2466.8757,2467.27
