gamma_result_temp,gamma_result_depth,ref,TiDE_pred_temp,TiDE_pred_depth,Time,LP
400.0,0.0,436.1014,400.0,0.0,0.2078402042388916,533.8514
463.51947021484375,0.0,904.84973,463.51947,0.0,0.21851420402526855,533.85516
1081.8900146484375,-0.26632651686668396,1296.6033,1081.89,-0.26632652,0.3157632350921631,533.8588
1783.94384765625,-0.5510203838348389,1724.6505,1783.9438,-0.5510204,0.28509974479675293,533.8624
2045.942626953125,-0.5295918583869934,2031.7224,2045.9426,-0.52959186,0.32317399978637695,533.86597
2215.1259765625,-0.48061224818229675,2179.6394,2215.126,-0.48061225,0.17475557327270508,533.86945
2302.99169921875,-0.4561224579811096,2259.3264,2302.9917,-0.45612246,0.16579604148864746,533.87286
2355.57275390625,-0.43622449040412903,2304.328,2355.5728,-0.4362245,0.30416369438171387,533.8762
2378.296875,-0.4255101978778839,2328.151,2378.2969,-0.4255102,0.25287771224975586,533.87946
2381.59765625,-0.4147959053516388,2345.0537,2381.5977,-0.4147959,0.2751893997192383,533.8827
2398.864013671875,-0.41020408272743225,2353.3801,2398.864,-0.41020408,0.28331422805786133,533.8858
2419.16064453125,-0.40714284777641296,2364.7876,2419.1606,-0.40714285,0.15546083450317383,533.88885
2413.370361328125,-0.4010204076766968,2374.808,2413.3704,-0.4010204,0.17975735664367676,533.89185
2415.066162109375,-0.3948979675769806,2376.4321,2415.0662,-0.39489797,0.24481821060180664,533.8948
2413.9072265625,-0.39336735010147095,2376.8855,2413.9072,-0.39336735,0.1404433250427246,533.8976
2410.377197265625,-0.3918367326259613,2378.781,2410.3772,-0.39183673,0.18279790878295898,533.9004
2419.805419921875,-0.3918367326259613,2378.5881,2419.8054,-0.39183673,0.24498605728149414,533.9031
2424.5,-0.3918367326259613,2385.5457,2424.5,-0.39183673,0.2724277973175049,533.90576
2422.202880859375,-0.3918367326259613,2388.5427,2422.203,-0.39183673,0.2246692180633545,533.9083
2423.908447265625,-0.388775497674942,2394.758,2423.9084,-0.3887755,0.14698338508605957,533.9108
2426.724365234375,-0.38724491000175476,2396.0295,2426.7244,-0.3872449,0.24484634399414062,533.91327
2425.912353515625,-0.3857142925262451,2402.6467,2425.9124,-0.3857143,0.20792579650878906,533.91565
2427.0361328125,-0.3857142925262451,2403.5508,2427.0361,-0.3857143,0.2656362056732178,533.91797
2430.9033203125,-0.3857142925262451,2406.3135,2430.9033,-0.3857143,0.13276410102844238,533.9202
2437.1689453125,-0.38724491000175476,2409.7815,2437.169,-0.3872449,0.3054311275482178,533.92236
2444.1064453125,-0.388775497674942,2413.1658,2444.1064,-0.3887755,0.1460587978363037,533.9245
2453.060546875,-0.38265305757522583,2417.323,2453.0605,-0.38265306,0.15060830116271973,533.9265
2457.01953125,-0.37959182262420654,2424.4392,2457.0195,-0.37959182,0.15926051139831543,533.9285
2462.6484375,-0.3811224400997162,2427.462,2462.6484,-0.38112244,0.1755979061126709,533.9304
2468.458740234375,-0.3811224400997162,2436.1484,2468.4587,-0.38112244,0.33658385276794434,533.93225
2476.883544921875,-0.38265305757522583,2428.472,2476.8835,-0.38265306,0.12569260597229004,533.934
2479.916748046875,-0.37959182262420654,2427.2568,2479.9167,-0.37959182,0.16652274131774902,533.9357
2458.087646484375,-0.37653061747550964,2424.3447,2458.0876,-0.37653062,0.3566005229949951,533.9374
2443.953857421875,-0.3780612349510193,2416.6423,2443.9539,-0.37806123,0.13875293731689453,533.93896
2454.07177734375,-0.3780612349510193,2423.3088,2454.0718,-0.37806123,0.277071475982666,533.9404
2457.984619140625,-0.3780612349510193,2426.1687,2457.9846,-0.37806123,0.21068716049194336,533.9419
2455.7861328125,-0.37959182262420654,2432.034,2455.7861,-0.37959182,0.3556222915649414,533.9433
2464.135009765625,-0.3811224400997162,2433.934,2464.135,-0.38112244,0.2991616725921631,533.9446
2474.37451171875,-0.37959182262420654,2433.878,2474.3745,-0.37959182,0.17290592193603516,533.94586
2468.766845703125,-0.37653061747550964,2434.2937,2468.7668,-0.37653062,0.1329200267791748,533.947
2462.623291015625,-0.37653061747550964,2429.2527,2462.6233,-0.37653062,0.13031983375549316,533.9482
2462.952392578125,-0.3780612349510193,2438.6719,2462.9524,-0.37806123,0.4510493278503418,533.9492
2471.441650390625,-0.3780612349510193,2431.586,2471.4417,-0.37806123,0.13468313217163086,533.9502
2479.718994140625,-0.375,2429.5608,2479.719,-0.375,0.2670931816101074,533.9511
2474.10546875,-0.37653061747550964,2428.8542,2474.1055,-0.37653062,0.14933276176452637,533.952
2465.69677734375,-0.37653061747550964,2418.3218,2465.6968,-0.37653062,0.29384922981262207,533.9528
2462.876708984375,-0.375,2429.5063,2462.8767,-0.375,0.12813782691955566,533.95355
2465.60400390625,-0.3780612349510193,2432.6616,2465.604,-0.37806123,0.3679935932159424,533.9542
2471.18310546875,-0.3841836750507355,2436.885,2471.183,-0.38418368,0.2948300838470459,533.95483
2472.9521484375,-0.38265305757522583,2442.2893,2472.9521,-0.38265306,0.31900620460510254,533.5906
2472.9521237907034,-0.38265306122448983,2442.2476,2474.3062,-0.378396,0.17503786087036133,533.5906
2472.141928508646,-0.37806122448979596,2444.7808,2474.6387,-0.3780223,0.37090373039245605,533.27484
2468.6854104246295,-0.37653061224489803,2442.02,2470.2576,-0.3786341,0.29178595542907715,533.12146
2466.0036927493156,-0.37653061224489803,2444.0645,2460.0286,-0.3772084,0.2982199192047119,533.0297
2469.089975942944,-0.37806122448979596,2447.282,2457.5642,-0.37994552,0.2706413269042969,532.9022
2474.003539301185,-0.38265306122448983,2443.4712,2458.6987,-0.38061547,0.2936413288116455,532.712
2472.19449603918,-0.38418367346938775,2447.7666,2467.575,-0.37973994,0.16663122177124023,532.45624
2465.99505897406,-0.3811224489795918,2449.3984,2464.8457,-0.3802498,0.16377902030944824,532.22644
2464.234641257449,-0.38265306122448983,2445.4634,2454.7124,-0.38078433,0.22054576873779297,532.04614
2463.223165561966,-0.38112244897959185,2450.6638,2453.455,-0.38168305,0.15558147430419922,531.8431
