0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
-713237300000000.0,4.5652e-41,-713237300000000.0,4.5652e-41,-421110270000000.0,4.5652e-41,-421110270000000.0,4.5652e-41,-421110270000000.0,4.5652e-41,-421054430000000.0,4.5652e-41,-414347840000000.0,4.5652e-41,-409924030000000.0,4.5652e-41,-460896700000000.0,4.5652e-41,-414341400000000.0,4.5652e-41,-421048000000000.0,4.5652e-41,-421054430000000.0,4.5652e-41,-421054430000000.0,4.5652e-41,-421048000000000.0,4.5652e-41,-455014740000000.0,4.5652e-41,-414347840000000.0,4.5652e-41,-419718700000000.0,4.5652e-41,-414268400000000.0,4.5652e-41,-460896700000000.0,4.5652e-41,-461163000000000.0,4.5652e-41,-400962580000000.0,4.5652e-41,-407074300000000.0,4.5652e-41,-460896700000000.0,4.5652e-41,-400215250000000.0,4.5652e-41,-407074300000000.0,4.5652e-41
-0.40945733,-0.4114561,-0.41129106,-0.41063783,-0.4108809,-0.41098428,-0.41148317,-0.41247284,-0.41298783,-0.41271353,-0.41202098,-0.41152486,-0.41066888,-0.40981615,-0.40923598,-0.40883252,-0.40937477,-0.41007364,-0.4104607,-0.4110391,-0.41129708,-0.41016436,-0.411641,-0.41230774,-0.41283298,-0.41332835,-0.4139098,-0.41410503,-0.41418725,-0.4142444,-0.41461876,-0.41552988,-0.41644204,-0.4175459,-0.41833448,-0.41891605,-0.4182672,-0.4164346,-0.4139371,-0.4115402,-0.4105509,-0.4107818,-0.4124227,-0.41437078,-0.41600358,-0.41702822,-0.41726828,-0.4172979,-0.41680104,-0.41532016
-0.42519206,-0.42716157,-0.42621103,-0.4277243,-0.42933708,-0.42979193,-0.42974877,-0.4297878,-0.42974037,-0.42938578,-0.42896596,-0.4287766,-0.4287216,-0.4290192,-0.4293787,-0.42930725,-0.4300577,-0.43069592,-0.43121594,-0.43199134,-0.43126434,-0.43229833,-0.43252054,-0.43322057,-0.43363678,-0.43431136,-0.4350297,-0.43519872,-0.4349724,-0.4343954,-0.4341069,-0.43465245,-0.43516314,-0.43623203,-0.43692824,-0.43726,-0.43618864,-0.43408442,-0.43160254,-0.42919648,-0.42813,-0.4282049,-0.42960277,-0.43142223,-0.4326625,-0.43277824,-0.43207076,-0.43143183,-0.43039086,-0.42848635
-0.42964253,-0.43331754,-0.43385187,-0.43629175,-0.43844336,-0.43935573,-0.43989396,-0.44034022,-0.4405768,-0.44050056,-0.43989012,-0.4399159,-0.44013909,-0.44045782,-0.4407388,-0.44070473,-0.4411813,-0.4416778,-0.4422864,-0.44200015,-0.44342887,-0.44352642,-0.44406968,-0.4448728,-0.4453799,-0.44600642,-0.4466142,-0.44668496,-0.4464581,-0.4460785,-0.4461508,-0.4469887,-0.44811612,-0.44953376,-0.45049897,-0.4510863,-0.4504897,-0.4490798,-0.44743365,-0.44595605,-0.445519,-0.44587955,-0.44720727,-0.44828954,-0.44878304,-0.4482261,-0.44663578,-0.44502595,-0.44327942,-0.44102383
-0.42511746,-0.42810014,-0.42908496,-0.43046117,-0.4315861,-0.43183678,-0.43218815,-0.4327322,-0.43309295,-0.43324357,-0.43323606,-0.4335839,-0.4339688,-0.4341802,-0.43426114,-0.43397924,-0.4343011,-0.43503702,-0.43466687,-0.43661907,-0.43703526,-0.43712297,-0.43759468,-0.43819997,-0.43846348,-0.43867397,-0.4387819,-0.4384536,-0.4380974,-0.43796653,-0.4384914,-0.43948168,-0.44028142,-0.44142628,-0.4421299,-0.4424185,-0.4416595,-0.44043073,-0.4390704,-0.43798018,-0.4378369,-0.43860143,-0.44038877,-0.44150844,-0.44113106,-0.43948796,-0.43670845,-0.4342693,-0.43232068,-0.43037397
-0.42484254,-0.42647773,-0.4263149,-0.42548472,-0.42481548,-0.42369014,-0.4231909,-0.42295742,-0.42266792,-0.42240524,-0.42218024,-0.42240623,-0.4228273,-0.4231201,-0.4233534,-0.42320526,-0.4235372,-0.42287803,-0.42452863,-0.42516863,-0.42560953,-0.42574877,-0.42617804,-0.42657098,-0.42658973,-0.4261542,-0.42543632,-0.42428294,-0.42347366,-0.4233358,-0.4241079,-0.42533305,-0.42654485,-0.42785972,-0.4288813,-0.42944834,-0.42892262,-0.42779827,-0.42637575,-0.42499018,-0.42429653,-0.42430592,-0.42547548,-0.42636186,-0.42657316,-0.42593563,-0.42403635,-0.42214584,-0.4211673,-0.42006445
-0.42643577,-0.4280864,-0.42821962,-0.42736688,-0.4266752,-0.4261685,-0.42602575,-0.42589754,-0.42569062,-0.42548227,-0.4252965,-0.4256854,-0.42626137,-0.42661655,-0.42681703,-0.42686564,-0.4259048,-0.42742014,-0.42764336,-0.42815363,-0.42845267,-0.4285312,-0.42894372,-0.42937934,-0.42949295,-0.42922494,-0.42876685,-0.42784384,-0.42723602,-0.42713472,-0.4276051,-0.42861712,-0.42959267,-0.4306483,-0.431498,-0.4320074,-0.43154517,-0.4307529,-0.42973405,-0.4287152,-0.42821833,-0.4280682,-0.4289117,-0.42962313,-0.42980278,-0.42938703,-0.42814785,-0.42689824,-0.42597345,-0.4251873
-0.4248188,-0.42633942,-0.42688358,-0.4268644,-0.4267079,-0.4266602,-0.4270331,-0.42735952,-0.42743683,-0.42761964,-0.42775553,-0.42837742,-0.42918813,-0.42979008,-0.4302859,-0.429152,-0.43042964,-0.43055844,-0.4307342,-0.43114293,-0.4313571,-0.4313898,-0.43175322,-0.43214965,-0.43231148,-0.4321403,-0.43181884,-0.43118876,-0.43085545,-0.43073428,-0.43119004,-0.43213874,-0.4330409,-0.43405944,-0.43478423,-0.435091,-0.43469,-0.434047,-0.4332233,-0.43243337,-0.43208063,-0.43198088,-0.43256807,-0.4331307,-0.43320036,-0.43278793,-0.4316019,-0.43042958,-0.42978197,-0.4291978
-0.4268853,-0.4284898,-0.42923564,-0.4294079,-0.42920142,-0.42919838,-0.42963552,-0.43000585,-0.43011487,-0.4303192,-0.43044406,-0.43102604,-0.43181396,-0.43247998,-0.43160653,-0.43268728,-0.4326113,-0.4327373,-0.43283868,-0.43316358,-0.4333101,-0.43331218,-0.43367168,-0.4340868,-0.4342939,-0.4341785,-0.43394545,-0.43348384,-0.43317217,-0.4330064,-0.4333554,-0.43417716,-0.43498483,-0.43574667,-0.43620837,-0.43651468,-0.43615586,-0.43561056,-0.43490666,-0.43423054,-0.4339448,-0.4338932,-0.43462527,-0.43516302,-0.43525678,-0.4349382,-0.43390274,-0.43272567,-0.43201232,-0.431519
-0.43032655,-0.4324626,-0.43364754,-0.43353206,-0.43286085,-0.43266118,-0.43293428,-0.43313745,-0.43303776,-0.43297267,-0.4328273,-0.43318307,-0.433837,-0.4329559,-0.43420386,-0.4338595,-0.43381387,-0.4339713,-0.43410245,-0.434312,-0.43442348,-0.43448526,-0.43486416,-0.43530747,-0.43555856,-0.43549845,-0.43535197,-0.43490392,-0.43459797,-0.43438298,-0.43466082,-0.43540582,-0.43585536,-0.43642178,-0.4367892,-0.43700337,-0.43672273,-0.43623203,-0.4355916,-0.4349843,-0.43480062,-0.43496323,-0.43592438,-0.43654487,-0.4367211,-0.43646845,-0.43546706,-0.43422636,-0.43346596,-0.43282366
-0.43113202,-0.43321806,-0.43459478,-0.43432206,-0.43348426,-0.43306503,-0.43332466,-0.43349302,-0.43332958,-0.4331668,-0.432936,-0.43327272,-0.43248343,-0.43382958,-0.4337121,-0.43339807,-0.43333536,-0.43348107,-0.43358523,-0.43371263,-0.433775,-0.433793,-0.43421537,-0.43466628,-0.43495905,-0.43500262,-0.43486506,-0.43435088,-0.4340096,-0.43379644,-0.4340523,-0.43474758,-0.43519497,-0.4357038,-0.4359824,-0.4362898,-0.43606004,-0.43563786,-0.43508875,-0.43459752,-0.43447757,-0.43468994,-0.4356561,-0.43627912,-0.43647492,-0.43627483,-0.43544573,-0.43443432,-0.43372166,-0.4331861
-0.42771012,-0.42961317,-0.4312404,-0.4314739,-0.43103892,-0.43087798,-0.43144977,-0.43192494,-0.43205827,-0.4321844,-0.4322285,-0.43134168,-0.4329127,-0.4329762,-0.4329337,-0.43262315,-0.4325279,-0.43263584,-0.43267506,-0.43288517,-0.43304956,-0.43315595,-0.4336047,-0.43406487,-0.43443266,-0.43441504,-0.43421373,-0.43371296,-0.4333911,-0.43319973,-0.4334914,-0.43415058,-0.43455398,-0.4350829,-0.43546316,-0.43577588,-0.4355267,-0.43509647,-0.43457705,-0.43411174,-0.43403277,-0.43435246,-0.43534923,-0.4359749,-0.43615097,-0.4359342,-0.43509656,-0.434163,-0.4334902,-0.43303078
-0.42699462,-0.42901424,-0.43095845,-0.431449,-0.4311574,-0.4311493,-0.43186653,-0.4324764,-0.4327404,-0.43304446,-0.4317749,-0.43318063,-0.43340975,-0.43347877,-0.43339607,-0.43307987,-0.4329955,-0.43313658,-0.43320456,-0.43349957,-0.43371803,-0.43384102,-0.43433124,-0.43476653,-0.4352039,-0.435155,-0.43495962,-0.43450284,-0.434217,-0.43405378,-0.43432552,-0.43487537,-0.43523413,-0.4358163,-0.43618155,-0.4364715,-0.43619427,-0.43576658,-0.4352343,-0.43478963,-0.4347581,-0.4352374,-0.43625423,-0.43686897,-0.43702912,-0.43681076,-0.4359321,-0.43495017,-0.43420684,-0.4337589
-0.425036,-0.42741206,-0.42966944,-0.43045557,-0.43028656,-0.43043435,-0.43119428,-0.4319442,-0.43238792,-0.43142956,-0.4324925,-0.43260735,-0.43291333,-0.43296978,-0.43286303,-0.43253,-0.432423,-0.43255144,-0.43258235,-0.4329536,-0.43324837,-0.43344724,-0.43403825,-0.4344774,-0.43488747,-0.43484887,-0.43466097,-0.43420327,-0.4338363,-0.43363276,-0.4338586,-0.43430203,-0.43467247,-0.4352312,-0.4355821,-0.4358593,-0.43558824,-0.43513227,-0.43455714,-0.43407154,-0.43401575,-0.43447086,-0.43550232,-0.43615195,-0.43636924,-0.4361776,-0.43530285,-0.4343268,-0.4336543,-0.43320468
-0.42425334,-0.42676696,-0.42913508,-0.42986912,-0.42967707,-0.42978233,-0.430485,-0.4312756,-0.4303341,-0.43160653,-0.43128863,-0.4314133,-0.43168873,-0.43172762,-0.43160653,-0.4312598,-0.43114057,-0.43125653,-0.43123156,-0.43159753,-0.43192917,-0.43223912,-0.43283397,-0.4332457,-0.43369013,-0.4336627,-0.4334725,-0.43300265,-0.43263385,-0.43236342,-0.43247622,-0.43291968,-0.4332341,-0.4337465,-0.4340732,-0.4343781,-0.43412992,-0.43370628,-0.4331609,-0.43269825,-0.43265724,-0.4331445,-0.43421566,-0.4349406,-0.43520838,-0.43506664,-0.4342503,-0.43333983,-0.43279213,-0.43236887
-0.4289375,-0.4312251,-0.43315387,-0.4332738,-0.43276438,-0.43262663,-0.4331596,-0.43237078,-0.4333917,-0.43299755,-0.43246627,-0.43236387,-0.4324216,-0.43229586,-0.4320631,-0.431645,-0.43152905,-0.43161196,-0.43157563,-0.43189985,-0.43223956,-0.4324696,-0.43302733,-0.433461,-0.4338866,-0.4339197,-0.43366092,-0.4331051,-0.43266267,-0.43233907,-0.43248302,-0.4329062,-0.43319553,-0.43364888,-0.4339566,-0.43423718,-0.43400207,-0.43363214,-0.43319923,-0.43288338,-0.43319213,-0.43406183,-0.43528578,-0.4360819,-0.4363818,-0.43622583,-0.43541428,-0.43451813,-0.43384203,-0.43325
-0.43216223,-0.43426624,-0.435915,-0.43574646,-0.43508548,-0.4349171,-0.4339766,-0.43526158,-0.43486616,-0.43437833,-0.43373638,-0.43354627,-0.4335165,-0.43332773,-0.43304592,-0.43259,-0.43247432,-0.43246847,-0.43240955,-0.43272883,-0.43298298,-0.43309546,-0.4336111,-0.43404254,-0.4344569,-0.4345147,-0.4342845,-0.43370125,-0.43326324,-0.43305868,-0.43322468,-0.43364927,-0.4339417,-0.43439227,-0.43467253,-0.43496493,-0.43477818,-0.43446016,-0.43407637,-0.43379816,-0.43431446,-0.43519014,-0.43636206,-0.43712375,-0.43744433,-0.43735528,-0.4366687,-0.43587998,-0.43541157,-0.4345479
-0.42655963,-0.42857888,-0.43059516,-0.43106195,-0.43084964,-0.42966586,-0.43109474,-0.43144307,-0.43151134,-0.43156832,-0.43121773,-0.43131793,-0.43151233,-0.43144387,-0.43121806,-0.43078893,-0.43062747,-0.43056577,-0.43065107,-0.43108952,-0.43138558,-0.4315719,-0.4320777,-0.43244052,-0.43281898,-0.43284082,-0.43258423,-0.4319662,-0.43161464,-0.4314373,-0.43166578,-0.4321599,-0.4325519,-0.4331151,-0.4334761,-0.43379748,-0.4335925,-0.4332257,-0.4327609,-0.43241364,-0.43287462,-0.43367344,-0.43480903,-0.43554595,-0.43583918,-0.43573064,-0.434993,-0.43427154,-0.4335785,-0.43264997
