0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
-414341400000000.0,4.5652e-41,-421048000000000.0,4.5652e-41,-421054430000000.0,4.5652e-41,-421054430000000.0,4.5652e-41,-421048000000000.0,4.5652e-41,-421108120000000.0,4.5652e-41,-421110270000000.0,4.5652e-41,-414343550000000.0,4.5652e-41,-460896700000000.0,4.5652e-41,-458476500000000.0,4.5652e-41,-400152980000000.0,4.5652e-41,-408738600000000.0,4.5652e-41,-460735640000000.0,4.5652e-41,-457993300000000.0,4.5652e-41,-464513060000000.0,4.5652e-41,-464513060000000.0,4.5652e-41,-408738600000000.0,4.5652e-41,-409672770000000.0,4.5652e-41,-460774300000000.0,4.5652e-41,-454892330000000.0,4.5652e-41,-421110270000000.0,4.5652e-41,-414350000000000.0,4.5652e-41,-421045840000000.0,4.5652e-41,-414343550000000.0,4.5652e-41,-421110270000000.0,4.5652e-41
-0.378396,-0.37976074,-0.3782957,-0.37694082,-0.3779847,-0.3793742,-0.38096228,-0.38233855,-0.3828317,-0.38250226,-0.38242006,-0.38246974,-0.38236284,-0.38208777,-0.3815887,-0.3810609,-0.38111183,-0.38145852,-0.38175273,-0.38222927,-0.3825277,-0.38169742,-0.382428,-0.38246322,-0.3825217,-0.3826794,-0.38279966,-0.38253814,-0.38225132,-0.3821034,-0.38204753,-0.38220623,-0.38243347,-0.38275784,-0.38339996,-0.38404807,-0.3842304,-0.38407344,-0.3834319,-0.38248548,-0.38191783,-0.38168946,-0.38199946,-0.38259277,-0.38351232,-0.38464916,-0.38556907,-0.38576424,-0.38535523,-0.38432765
-0.3780223,-0.37745053,-0.37435418,-0.37412873,-0.37589276,-0.3789705,-0.38147852,-0.38110447,-0.3803458,-0.38010484,-0.3804053,-0.38060033,-0.38094294,-0.38139117,-0.3815323,-0.38129264,-0.38164926,-0.38215512,-0.38253614,-0.38301474,-0.38239196,-0.38268554,-0.38215622,-0.38200763,-0.3819586,-0.38236514,-0.38284445,-0.38288456,-0.38273066,-0.3825634,-0.38243568,-0.38272464,-0.38282812,-0.38324296,-0.38391882,-0.38453817,-0.38460422,-0.38439292,-0.38381013,-0.38286763,-0.38216552,-0.38173878,-0.38169235,-0.38203394,-0.38250175,-0.38277525,-0.38320574,-0.38363168,-0.383609,-0.38270494
-0.3786341,-0.37891084,-0.37644392,-0.37669462,-0.37847733,-0.38006416,-0.38137823,-0.38218454,-0.38249767,-0.3824259,-0.38229954,-0.38234836,-0.3825713,-0.38283682,-0.3830016,-0.38308057,-0.38345975,-0.3838295,-0.38412362,-0.3835755,-0.38409024,-0.38356644,-0.38314074,-0.38294128,-0.38281518,-0.38308227,-0.38346392,-0.3834725,-0.38331154,-0.3831346,-0.3830039,-0.38319737,-0.38359684,-0.38412833,-0.38482904,-0.3854996,-0.3857283,-0.38572484,-0.38544077,-0.38484254,-0.38430065,-0.38379517,-0.38339892,-0.38305545,-0.38311565,-0.3832547,-0.38342655,-0.3834504,-0.38310784,-0.38208863
-0.3772084,-0.37768245,-0.3769831,-0.37814915,-0.37996495,-0.38069957,-0.38124347,-0.3816567,-0.38198447,-0.38218915,-0.38254422,-0.38278484,-0.38316137,-0.38359645,-0.3839391,-0.3840878,-0.38438702,-0.38479245,-0.38426775,-0.38497823,-0.38467306,-0.3841396,-0.38372415,-0.3835361,-0.38346112,-0.3837074,-0.384093,-0.38414717,-0.38396907,-0.38383946,-0.38378108,-0.3838373,-0.3838849,-0.38420683,-0.38461477,-0.3850557,-0.38512576,-0.385041,-0.38466758,-0.38402334,-0.3834591,-0.38311887,-0.38328004,-0.38346142,-0.38339067,-0.3832633,-0.3829906,-0.3825248,-0.38192523,-0.38093334
-0.37994552,-0.38094467,-0.38035262,-0.38063458,-0.38165486,-0.38164514,-0.381748,-0.38170266,-0.38178447,-0.38189,-0.38205376,-0.38212362,-0.38254505,-0.38324073,-0.38399744,-0.3842651,-0.38452378,-0.3838607,-0.3848572,-0.3849671,-0.384901,-0.38462168,-0.38440078,-0.38423097,-0.38415885,-0.38398448,-0.38370174,-0.38307434,-0.38255233,-0.38258126,-0.3828819,-0.3831495,-0.38374132,-0.38448006,-0.3852976,-0.3859998,-0.38619593,-0.38599968,-0.38549083,-0.38468945,-0.38381642,-0.38302702,-0.38292894,-0.38303265,-0.38329154,-0.38342336,-0.38287956,-0.38223934,-0.3822515,-0.38155943
-0.38061547,-0.3816754,-0.38137448,-0.38140613,-0.38207364,-0.38242102,-0.38266224,-0.38258883,-0.3826592,-0.38271493,-0.38291556,-0.38325834,-0.38376287,-0.38421786,-0.38453573,-0.3848315,-0.38413066,-0.3851441,-0.3851676,-0.38530487,-0.38522506,-0.38496196,-0.38477916,-0.38465542,-0.38458383,-0.3845138,-0.38446182,-0.38401264,-0.38362342,-0.3836251,-0.38359052,-0.38383105,-0.38426995,-0.38481957,-0.38552028,-0.38607574,-0.38613814,-0.3860282,-0.38569784,-0.38513854,-0.38447917,-0.38369793,-0.3835019,-0.3835432,-0.3836969,-0.38378108,-0.38378894,-0.38366696,-0.38337278,-0.38298517
-0.37973994,-0.3805688,-0.38042295,-0.38068524,-0.38134682,-0.3817439,-0.38216797,-0.38227528,-0.3823452,-0.38252294,-0.38282427,-0.3832226,-0.38373628,-0.38418847,-0.3845995,-0.3839531,-0.38493723,-0.38497972,-0.38501677,-0.38509127,-0.3849779,-0.38472304,-0.38456863,-0.38446158,-0.38438016,-0.38427386,-0.38421404,-0.38399172,-0.3838039,-0.38369617,-0.3837006,-0.38393217,-0.3843463,-0.38495207,-0.38554424,-0.38588172,-0.38594913,-0.38587284,-0.38561982,-0.38521275,-0.38468552,-0.38400418,-0.38365632,-0.38362646,-0.38370156,-0.38374794,-0.38372082,-0.38365757,-0.38370684,-0.38358253
-0.3802498,-0.38103858,-0.3810147,-0.38131726,-0.38183573,-0.38222754,-0.38267076,-0.3828085,-0.38289887,-0.38308394,-0.38337612,-0.38374066,-0.38420618,-0.3846801,-0.3840483,-0.38502407,-0.3850217,-0.38510096,-0.38512415,-0.38518244,-0.38505563,-0.38478345,-0.38461298,-0.38449553,-0.3844008,-0.38429382,-0.38425958,-0.3841353,-0.38397336,-0.383872,-0.38386294,-0.38406307,-0.38448864,-0.38487673,-0.38520518,-0.3854916,-0.38552934,-0.38546842,-0.3852663,-0.38492912,-0.38445848,-0.38383096,-0.38362664,-0.38357878,-0.38363567,-0.3836735,-0.3836596,-0.38348472,-0.3834772,-0.38341916
-0.38078433,-0.38186803,-0.38225034,-0.3824375,-0.38268644,-0.38302028,-0.38341066,-0.38352305,-0.38356555,-0.38365793,-0.38384852,-0.3841157,-0.38457114,-0.383964,-0.3849343,-0.38485035,-0.3848482,-0.38489872,-0.38494664,-0.38493013,-0.38481113,-0.38461262,-0.38442546,-0.38427383,-0.3841712,-0.38410854,-0.38414088,-0.38403255,-0.383884,-0.38376224,-0.38374794,-0.38402468,-0.38418067,-0.38443023,-0.3846752,-0.3848468,-0.38489425,-0.38485193,-0.38467526,-0.38435584,-0.3839146,-0.38341427,-0.38336453,-0.38336986,-0.38346976,-0.38351673,-0.3834265,-0.38308778,-0.3829965,-0.3827986
